last_name,first_name,display_name,tournament,year,round,tour
Agassi,Andre,Andre Agassi,Australian Open,2000,R16,ATP
Arazi,Hicham,Hicham Arazi,Australian Open,2000,R16,ATP
Clement,Arnaud,Arnaud Clement,Australian Open,2000,R16,ATP
Dosedel,Slava,Slava Dosedel,Australian Open,2000,R16,ATP
El Aynaoui,Younes,Younes El Aynaoui,Australian Open,2000,R16,ATP
Escude,Nicolas,Nicolas Escude,Australian Open,2000,R16,ATP
Ferreira,Wayne,Wayne Ferreira,Australian Open,2000,R16,ATP
Henman,Tim,Tim Henman,Australian Open,2000,R16,ATP
Hewitt,Lleyton,Lleyton Hewitt,Australian Open,2000,R16,ATP
Kafelnikov,Yevgeny,Yevgeny Kafelnikov,Australian Open,2000,R16,ATP
Kiefer,Nicolas,Nicolas Kiefer,Australian Open,2000,R16,ATP
Norman,Magnus,Magnus Norman,Australian Open,2000,R16,ATP
Philippoussis,Mark,Mark Philippoussis,Australian Open,2000,R16,ATP
Rochus,Christophe,Christophe Rochus,Australian Open,2000,R16,ATP
Sampras,Pete,Pete Sampras,Australian Open,2000,R16,ATP
Woodruff,Chris,Chris Woodruff,Australian Open,2000,R16,ATP
Agassi,Andre,Andre Agassi,Australian Open,2000,QF,ATP
Arazi,Hicham,Hicham Arazi,Australian Open,2000,QF,ATP
El Aynaoui,Younes,Younes El Aynaoui,Australian Open,2000,QF,ATP
Kafelnikov,Yevgeny,Yevgeny Kafelnikov,Australian Open,2000,QF,ATP
Kiefer,Nicolas,Nicolas Kiefer,Australian Open,2000,QF,ATP
Norman,Magnus,Magnus Norman,Australian Open,2000,QF,ATP
Sampras,Pete,Pete Sampras,Australian Open,2000,QF,ATP
Woodruff,Chris,Chris Woodruff,Australian Open,2000,QF,ATP
Agassi,Andre,Andre Agassi,Australian Open,2000,SF,ATP
Kafelnikov,Yevgeny,Yevgeny Kafelnikov,Australian Open,2000,SF,ATP
Norman,Magnus,Magnus Norman,Australian Open,2000,SF,ATP
Sampras,Pete,Pete Sampras,Australian Open,2000,SF,ATP
Agassi,Andre,Andre Agassi,Australian Open,2000,F,ATP
Kafelnikov,Yevgeny,Yevgeny Kafelnikov,Australian Open,2000,F,ATP
Agassi,Andre,Andre Agassi,Australian Open,2000,W,ATP
Brandi,Kristina,Kristina Brandi,Australian Open,2000,R16,WTA
Capriati,Jennifer,Jennifer Capriati,Australian Open,2000,R16,WTA
Davenport,Lindsay,Lindsay Davenport,Australian Open,2000,R16,WTA
Halard Decugis,Julie,Julie Halard Decugis,Australian Open,2000,R16,WTA
Hingis,Martina,Martina Hingis,Australian Open,2000,R16,WTA
Kandarr,Jana,Jana Kandarr,Australian Open,2000,R16,WTA
Kournikova,Anna,Anna Kournikova,Australian Open,2000,R16,WTA
Likhovtseva,Elena,Elena Likhovtseva,Australian Open,2000,R16,WTA
Martinez,Conchita,Conchita Martinez,Australian Open,2000,R16,WTA
Pierce,Mary,Mary Pierce,Australian Open,2000,R16,WTA
Sanchez Vicario,Arantxa,Arantxa Sanchez Vicario,Australian Open,2000,R16,WTA
Schett,Barbara,Barbara Schett,Australian Open,2000,R16,WTA
Schnyder,Patty,Patty Schnyder,Australian Open,2000,R16,WTA
Sugiyama,Ai,Ai Sugiyama,Australian Open,2000,R16,WTA
Testud,Sandrine,Sandrine Testud,Australian Open,2000,R16,WTA
Williams,Serena,Serena Williams,Australian Open,2000,R16,WTA
Capriati,Jennifer,Jennifer Capriati,Australian Open,2000,QF,WTA
Davenport,Lindsay,Lindsay Davenport,Australian Open,2000,QF,WTA
Halard Decugis,Julie,Julie Halard Decugis,Australian Open,2000,QF,WTA
Hingis,Martina,Martina Hingis,Australian Open,2000,QF,WTA
Likhovtseva,Elena,Elena Likhovtseva,Australian Open,2000,QF,WTA
Martinez,Conchita,Conchita Martinez,Australian Open,2000,QF,WTA
Sanchez Vicario,Arantxa,Arantxa Sanchez Vicario,Australian Open,2000,QF,WTA
Sugiyama,Ai,Ai Sugiyama,Australian Open,2000,QF,WTA
Capriati,Jennifer,Jennifer Capriati,Australian Open,2000,SF,WTA
Davenport,Lindsay,Lindsay Davenport,Australian Open,2000,SF,WTA
Hingis,Martina,Martina Hingis,Australian Open,2000,SF,WTA
Martinez,Conchita,Conchita Martinez,Australian Open,2000,SF,WTA
Davenport,Lindsay,Lindsay Davenport,Australian Open,2000,F,WTA
Hingis,Martina,Martina Hingis,Australian Open,2000,F,WTA
Davenport,Lindsay,Lindsay Davenport,Australian Open,2000,W,WTA
Carlos Ferrero,Juan,Juan Carlos Ferrero,French Open,2000,R16,ATP
Corretja,Alex,Alex Corretja,French Open,2000,R16,ATP
Costa,Albert,Albert Costa,French Open,2000,R16,ATP
El Aynaoui,Younes,Younes El Aynaoui,French Open,2000,R16,ATP
Federer,Roger,Roger Federer,French Open,2000,R16,ATP
Hewitt,Lleyton,Lleyton Hewitt,French Open,2000,R16,ATP
Kafelnikov,Yevgeny,Yevgeny Kafelnikov,French Open,2000,R16,ATP
Kuerten,Gustavo,Gustavo Kuerten,French Open,2000,R16,ATP
Lapentti,Nicolas,Nicolas Lapentti,French Open,2000,R16,ATP
Medvedev,Andrei,Andrei Medvedev,French Open,2000,R16,ATP
Norman,Magnus,Magnus Norman,French Open,2000,R16,ATP
Philippoussis,Mark,Mark Philippoussis,French Open,2000,R16,ATP
Pioline,Cedric,Cedric Pioline,French Open,2000,R16,ATP
Safin,Marat,Marat Safin,French Open,2000,R16,ATP
Squillari,Franco,Franco Squillari,French Open,2000,R16,ATP
Vicente,Fernando,Fernando Vicente,French Open,2000,R16,ATP
Carlos Ferrero,Juan,Juan Carlos Ferrero,French Open,2000,QF,ATP
Corretja,Alex,Alex Corretja,French Open,2000,QF,ATP
Costa,Albert,Albert Costa,French Open,2000,QF,ATP
Kafelnikov,Yevgeny,Yevgeny Kafelnikov,French Open,2000,QF,ATP
Kuerten,Gustavo,Gustavo Kuerten,French Open,2000,QF,ATP
Norman,Magnus,Magnus Norman,French Open,2000,QF,ATP
