last_name,first_name,display_name,goals
Shearer,Alan,Alan Shearer,260
Kane,Harry,Harry Kane,213
Rooney,Wayne,Wayne Rooney,208
Salah Hamed Mahrous Ghaly,Mohamed,Mohamed Salah,191
Cole,Andrew,Andrew Cole,187
Agüero,Sergio,Sergio Agüero,184
Lampard,Frank,Frank Lampard,177
Henry,Thierry,Thierry Henry,175
Fowler,Robbie,Robbie Fowler,163
Defoe,Jermain,Jermain Defoe,162
Owen,Michael,Michael Owen,150
Ferdinand,Les,Les Ferdinand,149
Sheringham,Teddy,Teddy Sheringham,146
Vardy,Jamie,Jamie Vardy,145
van Persie,Robin,Robin van Persie,144
Hasselbaink,Jimmy Floyd,Jimmy Floyd Hasselbaink,127
Son,Heung-Min,Son Heung-Min,127
Keane,Robbie,Robbie Keane,126
Anelka,Nicolas,Nicolas Anelka,125
Sterling,Raheem,Raheem Sterling,123
Yorke,Dwight,Dwight Yorke,123
Lukaku,Romelu,Romelu Lukaku,121
Gerrard,Steven,Steven Gerrard,120
Wright,Ian,Ian Wright,113
Dublin,Dion,Dion Dublin,111
Mané,Sadio,Sadio Mané,111
Heskey,Emile,Emile Heskey,110
Giggs,Ryan,Ryan Giggs,109
Crouch,Peter,Peter Crouch,108
Haaland,Erling,Erling Haaland,107
Scholes,Paul,Paul Scholes,107
Bent,Darren,Darren Bent,106
Drogba,Didier,Didier Drogba,104
dos Santos Aveiro,Cristiano Ronaldo,Cristiano Ronaldo,103
Le Tissier,Matthew,Matthew Le Tissier,100
Adebayor,Emmanuel,Emmanuel Adebayor,97
Aiyegbeni,Yakubu,Yakubu,95
van Nistelrooij,Ruud,Ruud van Nistelrooij,95
Berbatov,Dimitar,Dimitar Berbatov,94
Wilson,Callum,Callum Wilson,93
Phillips,Kevin,Kevin Phillips,92
Viduka,Mark,Mark Viduka,92
Beattie,James,James Beattie,91
Solskjaer,Ole Gunnar,Ole Gunnar Solskjaer,91
Wood,Chris,Chris Wood,91
Giroud,Olivier,Olivier Giroud,90
Rashford,Marcus,Marcus Rashford,89
Davies,Kevin,Kevin Davies,88
Bergkamp,Dennis,Dennis Bergkamp,87
Welbeck,Danny,Danny Welbeck,87
Benteke,Christian,Christian Benteke,86
Hazard,Eden,Eden Hazard,85
Saha,Louis,Louis Saha,85
Torres,Fernando,Fernando Torres,85
Tevez,Carlos,Carlos Tevez,84
Campbell,Kevin,Kevin Campbell,83
Sutton,Chris,Chris Sutton,83
Watkins,Ollie,Ollie Watkins,83
Barbosa de Oliveira,Roberto Firmino,Roberto Firmino,82
Mahrez,Riyad,Riyad Mahrez,82
Bellamy,Craig,Craig Bellamy,81
Speed,Gary,Gary Speed,80
Walcott,Theo,Theo Walcott,80
Cottee,Tony,Tony Cottee,78
de Jesus,Gabriel Fernando,Gabriel Jesus,78
Sturridge,Daniel,Daniel Sturridge,76
Agbonlahor,Gabriel,Gabriel Agbonlahor,74
de Andrade,Richarlison,Richarlison,72
De Bruyne,Kevin,Kevin De Bruyne,72
Ings,Danny,Danny Ings,72
Armstrong,Chris,Chris Armstrong,71
Deane,Brian,Brian Deane,71
Cantona,Eric,Eric Cantona,70
Aubameyang,Pierre-Emerick,Pierre-Emerick Aubameyang,69
Borges Fernandes,Bruno Miguel,Bruno Fernandes,69
Nolan,Kevin,Kevin Nolan,69
Suárez,Luis,Luis Suárez,69
Antonio,Michail,Michail Antonio,68
Ferguson,Duncan,Duncan Ferguson,68
Foden,Phil,Phil Foden,68
Zaha,Wilfried,Wilfried Zaha,68
Calvert-Lewin,Dominic,Dominic Calvert-Lewin,67
Jiménez,Raúl,Raúl Jiménez,67
Sigurdsson,Gylfi,Gylfi Sigurdsson,67
Di Canio,Paolo,Paolo Di Canio,66
Bowen,Jarrod,Jarrod Bowen,64
Hughes,Mark,Mark Hughes,64
Holdsworth,Dean,Dean Holdsworth,63
Martial,Anthony,Anthony Martial,63
Sánchez,Alexis,Alexis Sánchez,63
Teixeira da Silva,Diogo José,Diogo Jota,63
Beckham,David,David Beckham,62
